2026-02-21 01:26:38,161 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\data\cache
2026-02-21 01:26:38,162 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\data\outputs
2026-02-21 01:26:38,162 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\logs
2026-02-21 01:26:38,164 | INFO     | bootstrap | Environment setup complete.
2026-02-21 01:26:38,339 | INFO     | bootstrap | Wan2GP model already exists offline.
2026-02-21 01:26:38,339 | INFO     | bootstrap | InfiniteTalk model already exists offline.
2026-02-21 01:27:10,998 | INFO     | bootstrap | Starting environment setup...
2026-02-21 01:27:10,998 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\data
2026-02-21 01:27:11,000 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\data\uploads
2026-02-21 01:27:11,001 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\data\cache
2026-02-21 01:27:11,001 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\data\outputs
2026-02-21 01:27:11,001 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\logs
2026-02-21 01:27:11,003 | INFO     | bootstrap | Environment setup complete.
2026-02-21 01:27:11,159 | INFO     | bootstrap | Wan2GP model already exists offline.
2026-02-21 01:27:11,159 | INFO     | bootstrap | InfiniteTalk model already exists offline.
2026-02-21 01:30:10,663 | INFO     | bootstrap | Starting environment setup...
2026-02-21 01:30:10,663 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\data
2026-02-21 01:30:10,664 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\data\uploads
2026-02-21 01:30:10,664 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\data\cache
2026-02-21 01:30:10,665 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\data\outputs
2026-02-21 01:30:10,665 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\logs
2026-02-21 01:30:10,668 | INFO     | bootstrap | Environment setup complete.
2026-02-21 01:30:10,839 | INFO     | bootstrap | Wan2GP model already exists offline.
2026-02-21 01:30:10,840 | INFO     | bootstrap | InfiniteTalk model already exists offline.
